|title|language|certificate_no|certified_duration|type_of_film|producer_name|production_house|certificate_type|format|certificate_date|duration_in_seconds
1832|"""KALYANA SUBHAMASTHU"""|Kannada|VIL/1/49/2021-HYD|0 days 02:16:00|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|U|1|2021-09-30|8160
1833|KARMANYE VADHIKARASTE|Kannada|DIL/2/57/2021-BAN|0 days 02:00:57|Theatrical|Ramesh Ramaiah|M/S AVANI PRODUCTIONS|UA|1|2021-10-01|7257
1834|"""MADUVEMANE OOTA"""|Kannada|VIL/1/50/2021-HYD|0 days 02:08:44|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|U|1|2021-10-01|7724
1835|SWACHA KARNATAKA|Kannada|DIL/1/7/2021-BAN|0 days 01:54:55|Theatrical|Ravikumar L|Sree Shanti Shree Productions|U|1|2021-10-04|6895
1836|SINDHUBAADH|Kannada|VIL/2/161/2021-Che|0 days 02:12:59|Video|Veerabrahmachary Annabhimoju|Grayhawk media|UA|1|2021-10-06|7979
1837|"""SAMMOHANA"""|Kannada|VIL/1/51/2021-HYD|0 days 02:19:58|Video|Sivalenka Krishna Prasad|SRIDEVI MOVIES|U|1|2021-10-07|8398
1838|CONSILIUM|Kannada|DIL/2/58/2021-BAN|0 days 02:10:02|Theatrical|Prakash S|SEETHARAMA SHASTHRI PRODUCTION HOUSE|UA|1|2021-10-07|7802
1839|SALAGA|Kannada|DIL/3/23/2021-BAN|0 days 02:10:05|Theatrical|Srikanth K P|M/S VENUS ENTERRTAINERS|A|1|2021-10-08|7805
1840|WINDOW SEAT|Kannada with English Subtitles|DIL/2/59/2021-BAN|0 days 02:15:16|Digital|Manjunath H|M/S KSK SHOW REEL|UA|1|2021-10-08|8116
1841|"""SAI RAM"""|Kannada|VIL/1/52/2021-HYD|0 days 02:25:00|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|U|1|2021-10-11|8700
1842|"""CHECK"""|Kannada|VIL/2/130/2021-HYD|0 days 02:20:24|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-10-11|8424
1843|CHITHRALAHARI|Kannada|DIL/2/60/2021-BAN|0 days 02:24:42|Theatrical|Navaneetha Lakshmi|KESARI NANDANA CINE CREATIONS|UA|1|2021-10-11|8682
1844|SRIKRISHNA@GMAIL.COM|Kannada|DIL/2/62/2021-BAN|0 days 02:00:01|Theatrical|N Sandesh|M/S SANDESH PRODUCTIONS|UA|1|2021-10-11|7201
1845|RATHNAN PRAPANCHA|Kannada|DIL/2/63/2021-BAN|0 days 02:29:02|Theatrical|Karthik Ramakrishne Gowda|M/S K R G STUDIO’S LLP|UA|1|2021-10-11|8942
1846|KOTIGOBBA 3|Kannada|DIL/2/64/2021-BAN|0 days 02:20:12|Theatrical|M B Babu|M/S RAMBABU PRODUCTION’S|UA|1|2021-10-11|8412
1847|ONDANONDU KALADALLI OBBA RAJA IDDA|Kannada|DIL/3/24/2021-BAN|0 days 01:56:39|Theatrical|Santhosh Kodenkeri|DRUSTI|A|1|2021-10-11|6999
1848|INSTANT KARMA|Kannada with English Subtitles|DIL/2/61/2021-BAN|0 days 01:46:52|Digital|Santosh Mahantesh|Break Free Cinemas|UA|1|2021-10-11|6412
1849|BROTHERS|Kannada|VIL/1/75/2021-Che|0 days 02:45:42|Video|Manoharan Govindaswamy|LAHARI RECORDING COMPANY|U|1|2021-10-12|9942
1850|AUTO RAMANNA|Kannada with English Subtitles|DIL/1/9/2021-BAN|0 days 02:16:56|Digital|Ramanna N|DivyaSushma Creations|U|1|2021-10-12|8216
1851|AVANE RAJAN|Kannada|VIL/2/132/2021-HYD|0 days 02:16:02|Video|Veerabrahmachary Annabhimoju|Grayhawk media|UA|1|2021-10-13|8162
1852|"""NANI GENTLEMAN"""|Kannada|VIL/2/133/2021-HYD|0 days 02:24:03|Video|Sivalenka Krishna Prasad|SRIDEVI MOVIES|UA|1|2021-10-13|8643
1853|"""GAALI SAMPATHU"""|Kannada|VIL/1/54/2021-HYD|0 days 01:59:00|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|U|1|2021-10-13|7140
1854|NON ROWDY|Kannada|DIL/3/28/2021-MUM|0 days 02:12:17|Theatrical|Prashantha K Shetty|Shivani Cinemas|A|1|2021-10-13|7937
1855|SRI JAGANNATHA DASARU|Kannada|DIL/1/10/2021-BAN|0 days 02:18:01|Theatrical|Havaldar Madhusudan|MATHAMBUJA MOVIES|U|1|2021-10-14|8281
1856|PETER RABBIT 2|Kannada|VFL/1/63/2021-MUM|0 days 01:33:23|Video|Will Gluck , Zareh Nalbandian, Sony Pictures USA|-|U|1|2021-10-14|5603
1857|VASUKI|Kannada|VIL/2/134/2021-HYD|0 days 02:13:41|Video|Veerabrahmachary Annabhimoju|Grayhawk media|UA|1|2021-10-20|8021
1858|MAN OF THE MATCH|Kannada|DIL/1/11/2021-BAN|0 days 01:54:28|Theatrical|Satyaprakash D|Satya and Mayura Pictures|U|1|2021-10-21|6868
1859|GAJANANA AND GANG|Kannada|DIL/2/65/2021-BAN|0 days 01:48:08|Theatrical|Nageshkumar U S|BRINDAVAN ENTERPRISES|UA|1|2021-10-21|6488
1860|SHANTHIYANNU KALEDUKOLLABEDI|Kannada|DIL/2/66/2021-BAN|0 days 02:00:35|Theatrical|Vighnesh D Sheregar|PADMAVATHI STUDIOS|UA|1|2021-10-21|7235
1861|TOM AND JERRY|Kannada|DIL/2/67/2021-BAN|0 days 02:33:02|Theatrical|Raju Sheshaiah Sheregar|M/S RIDDHI SIDDHI FILMS|UA|1|2021-10-21|9182
1862|JAGAME THANDHIRAM|Kannada|VIL/2/169/2021-Che|0 days 02:45:00|Video|Sashikanth Shivaji|Y-Not studios|UA|1|2021-10-22|9900
1863|"""PREETIYA BANDHANA"""|Kannada|DIL/2/196/2021-HYD|0 days 02:37:52|Theatrical|Narayandas Kishandas Narang|SREE VENKATESWARA CINEMAS LLP|UA|1|2021-10-22|9472
1864|"""AUTO NAGAR SURYA"""|Kannada|VIL/2/136/2021-HYD|0 days 02:29:46|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-10-22|8986
1865|CUTTING SHOP|Kannada|DIL/2/69/2021-BAN|0 days 02:04:43|Theatrical|K Ganesh Aithal|YOUNG THINKERS FILMS|UA|1|2021-10-25|7483
1866|BHAJARANGI 2|Kannada|DIL/2/70/2021-BAN|0 days 02:35:13|Theatrical|Jayanna N|M/S JAYANNA FILMS|UA|1|2021-10-25|9313
1867|"""THIMMARASA"""|Kannada|VIL/2/138/2021-HYD|0 days 02:07:00|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-10-25|7620
1868|"""THAMATE"""|Kannada|VIL/2/140/2021-HYD|0 days 02:39:00|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-10-25|9540
1869|COLD CASE|Kannada|VIL/2/171/2021-Che|0 days 02:21:00|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-10-26|8460
1870|PREMAM POOJYAM|Kannada|DIL/2/71/2021-BAN|0 days 02:43:01|Theatrical|Rakshith Chandrashekar Kedambadi|M/S KEDAMBADI CREATIONS|UA|1|2021-10-28|9781
1871|JAI BHIM|Kannada|DIL/3/11/2021-Che|0 days 02:45:01|Theatrical|Suriya Sivakumar|2D - ENTERTAINMENT PVT LTD|A|1|2021-10-28|9901
1872|KAPO KALPITHAM|Kannada|DIL/2/73/2021-BAN|0 days 01:40:26|Theatrical|Ganesh Sd|Akshara Production|UA|1|2021-10-29|6026
1873|"""GALLY ROWDY"""|Kannada|VIL/2/143/2021-HYD|0 days 02:22:08|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-10-29|8528
1874|ETERNALS|Kannada|DFL/2/89/2021-MUM|0 days 02:36:28|Theatrical|Kevin Feige, Nate Moore, Buena Vista International, Inc|-|UA|1|2021-11-02|9388
1875|NAM ANNAYYA|Kannada|DIL/2/118/2021-Che|0 days 02:43:17|Theatrical|Sembiansivakumar Kovaichezhiyan|Sun TV Network Ltd|UA|1|2021-11-03|9797
1876|ATTYUTTAMA|Kannada|DIL/1/12/2021-BAN|0 days 02:09:56|Theatrical|Shivakumar B Jevuragi|BMS CINE CREATIONS|U|1|2021-11-09|7796
1877|"""SASI"""|Kannada|VIL/2/146/2021-HYD|0 days 02:10:44|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-11-10|7844
1878|KURUP|Kannada|DIL/2/35/2021-THI|0 days 02:36:32|Theatrical|Anish Mohan|M-STAR SATELLITE COMMUNICATIONS PRIVATE LIMITED|UA|1|2021-11-10|9392
1879|MADHYA RAATHRI|Kannada|VIL/2/177/2021-Che|0 days 02:24:01|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-11-10|8641
1880|MUGIL PETE|Kannada|DIL/2/74/2021-BAN|0 days 02:23:52|Theatrical|Raksha V|M/S MOTI MOVIE MAKERS|UA|1|2021-11-11|8632
1881|ARISHADVARGA|Kannada|VIL/2/29/2021-BAN|0 days 02:13:57|Video|Arvind Kamath|Kanasu Talkies|UA|1|2021-11-11|8037
1882|ONDONDU KSHANA|Kannada|VIL/2/178/2021-Che|0 days 02:43:06|Video|Kamal Bohra|M/s.SHANTI TELEFILMS|UA|1|2021-11-12|9786
1883|SARPA SAMBHANDA|Kannada|VIL/2/30/2021-BAN|0 days 02:02:16|Video|Asha V|M/S FLYING WHEELS PRODUCTIONS|UA|1|2021-11-15|7336
1884|"""GAJENDRAGADA GANESHA"""|Kannada|VIL/2/150/2021-HYD|0 days 02:51:44|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-11-16|10304
1885|"""GOVINDA SARVARIGE"""|Kannada|VIL/2/151/2021-HYD|0 days 02:32:00|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-11-16|9120
1886|"""HIT"""|Kannada|VIL/2/152/2021-HYD|0 days 02:09:47|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-11-16|7787
1887|KANNU KANNU KALETHAGA|Kannada|VIL/1/82/2021-Che|0 days 02:42:15|Video|Rajendra Prasad Sg|LAXMI LOTUS MOVIE MAKERS|U|1|2021-11-17|9735
1888|LOVE MOCKTAIL 2|Kannada|DIL/1/13/2021-BAN|0 days 02:20:00|Theatrical|Nagappa A|M/S KRISHNA TALKIES|U|1|2021-11-18|8400
1889|ABHIMANYU|Kannada|VIL/2/31/2021-BAN|0 days 01:46:05|Video|Juvvala Raju|9 STARS ENTERTAINMENTS|UA|1|2021-11-18|6365
1890|KARTHAVYA|Kannada|VIL/2/182/2021-Che|0 days 02:36:32|Video|Pradeep Bhagchand|M/s Diya Movies|UA|1|2021-11-22|9392
1891|BADAVA RASCAL|Kannada|DIL/2/75/2021-BAN|0 days 02:12:17|Theatrical|Dhananjaya Ka|DAALI PICTURES|UA|1|2021-11-22|7937
1892|"""GOWTHAMI PUTHRA SATHA KARNI"""|Kannada|VIL/2/154/2021-HYD|0 days 02:14:32|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-11-23|8072
1893|KICK|Kannada|VIL/2/155/2021-HYD|0 days 02:42:00|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-11-23|9720
1894|SAKKATH|Kannada|DIL/2/76/2021-BAN|0 days 02:17:16|Theatrical|Nisha Kiran|M/S KVN PRODUCTIONS|UA|1|2021-11-25|8236
1895|DOCTOR|Kannada|VIL/2/186/2021-Che|0 days 02:31:45|Video|Kotapadijayaramanrajesh Jayaraman|KJR STUDIOS|UA|1|2021-11-26|9105
1896|MOORANE KANNU|Kannada|VIL/2/187/2021-Che|0 days 02:27:04|Video|Vigneshwar Sivakolundu|ROWDY PICTURES PRIVATE LIMITED|UA|1|2021-11-26|8824
1897|MOBILE RAJA|Kannada|DIL/3/25/2021-BAN|0 days 01:50:28|Theatrical|Mohamed Abzal|NAMMA CINEMA|A|1|2021-11-29|6628
1898|MADHAGAJA|Kannada|DIL/2/77/2021-BAN|0 days 02:12:31|Theatrical|Umapathy Srinivasa Gowda|UMAPATHY FILMS|UA|1|2021-11-29|7951
1899|R R R (ROUDRA RANA RUDHIRA)|Kannada|DIL/2/233/2021-HYD|0 days 03:01:53|Theatrical|Dasari Veeravenkata Danayya|DVV ENTERTAINMENTS (LLP)|UA|1|2021-11-30|10913
1900|GADHAYUDDHA|Kannada|DIL/1/14/2021-BAN|0 days 01:48:54|Theatrical|R Murali Prasad|CINEMAN CREATIONS|U|1|2021-12-01|6534
1901|STABILITI|Kannada|DIL/2/79/2021-BAN|0 days 01:58:55|Theatrical|Goutham Kanade|WinterSun Studios Private Limited|UA|1|2021-12-01|7135
1902|BAHUKRUTHA VESHAM|Kannada|DIL/3/26/2021-BAN|0 days 02:11:37|Theatrical|Harshananda N V|M/S KINOCLOUDS ENTERTAINMENTS|A|1|2021-12-01|7897
1903|DHEERAN|Kannada with English Subtitles|VIL/2/32/2021-BAN|0 days 02:17:22|Video|Kiran V|M/S DIOXE ENTERTAINMENT PVT. LTD|UA|1|2021-12-01|8242
1904|"""GARAM"""|Kannada|DIL/2/239/2021-HYD|0 days 02:26:04|Theatrical|Kadiyala Anil Kumar|M./S GNAPIKA ENTERTAINMENTS PVT LTD|UA|1|2021-12-02|8764
1905|KHADAK|Kannada|DIL/2/80/2021-BAN|0 days 02:16:48|Theatrical|L Siddaramaiah|NANDHINI COMBINES|UA|1|2021-12-03|8208
1906|IKSHVAKU|Kannada|DIL/1/15/2021-BAN|0 days 01:32:14|Theatrical|Hemantha Kumark|HEMANTHS PRODUCTIONS|U|1|2021-12-03|5534
1907|AA THOMBATTU DINAGALU|Kannada|DIL/2/81/2021-BAN|0 days 01:59:59|Theatrical|Ronald Lobo|M/S MALVIKA MOTION PICTURES|UA|1|2021-12-03|7199
1908|BETTADA HOLA|Kannada|VIL/1/56/2021-HYD|0 days 02:22:29|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|U|1|2021-12-03|8549
1909|EKLOVEYA|Kannada|DIL/2/82/2021-BAN|0 days 02:31:07|Theatrical|Rakshitha Prem|M/S RAKSHITHAS FILM FACTORY|UA|1|2021-12-07|9067
1910|RIPPER|Kannada|DIL/3/27/2021-BAN|0 days 02:06:15|Theatrical|Gopal Krishna|G K REAL IMAGES|A|1|2021-12-07|7575
1911|ATMA THALLANA|Kannada|DIL/3/28/2021-BAN|0 days 02:25:02|Theatrical|Krishna S P|SHREE YOGAMATHA HULIYAMMA DEVI CREATIONS|A|1|2021-12-07|8702
1912|MANEGOBBA MANJUNATHA|Kannada|DIL/2/83/2021-BAN|0 days 02:06:01|Theatrical|R Narayana Murthy|R R COMBINES|UA|1|2021-12-07|7561
1913|BIG BROTHER|Kannada|VIL/2/195/2021-Che|0 days 02:44:41|Video|Niranjanlal Pansari|SRI BALAJI VIDEO PRIVATE LIMITED|UA|1|2021-12-07|9881
1914|DHRISHYA 2|Kannada|DIL/2/84/2021-BAN|0 days 02:25:55|Theatrical|MUKESH R MEHTA|E4 ENTERTAINMENT|UA|1|2021-12-07|8755
1915|STALKER|Kannada|DIL/2/85/2021-BAN|0 days 01:32:41|Theatrical|Ramesh Annavarapu|SML PRODUCTIONS|UA|1|2021-12-10|5561
1916|DONT BREATHE 2.|Kannada|VFL/2/459/2021-MUM|0 days 01:35:07|Video|Sam Raimi, Fede Álvarez, Robert Tapert, Sony Pictures USA|-|UA|1|2021-12-14|5707
1917|"""PUSHPA(THE RISE PART-01)"""|Kannada|DIL/2/250/2021-HYD|0 days 02:56:26|Theatrical|Yalamanchili Ravi Shankar|MYTHRI MOVIE MAKERS|UA|1|2021-12-16|10586
1918|PARADE|Kannada|DIL/2/86/2021-BAN|0 days 01:33:03|Theatrical|Lokesha N B|Shiva Cinemas|UA|1|2021-12-17|5583
1919|NILUKADA TAARE|Kannada|DIL/1/16/2021-BAN|0 days 01:58:54|Theatrical|Prakash G P|SRI SAI SIDDI PRODUCTIONS|U|1|2021-12-17|7134
1920|ANURAKTI|Kannada|DIL/3/29/2021-BAN|0 days 01:33:11|Theatrical|Harishraju V|HARISHRAJ PRODUCTIONS|A|1|2021-12-17|5591
1921|ECCHARA|Kannada|DIL/3/30/2021-BAN|0 days 02:06:31|Theatrical|N T Jayaramreddy|SHRI BALAJI CHITRALAYA|A|1|2021-12-17|7591
1922|SARVAM SHIVAMAYAM|Kannada|DIL/3/31/2021-BAN|0 days 02:12:23|Theatrical|Yamnoor A|NADAF PRODUCTION|A|1|2021-12-17|7943
1923|DJIBOUTI|Kannada|DIL/1/98/2021-THI|0 days 02:20:39|Theatrical|Jobi P Sam|BLUE HILL NAEL COMMUNICATION|U|1|2021-12-21|8439
1924|83|Kannada|DIL/1/122/2021-MUM|0 days 02:42:52|Theatrical|VIKRAMADITYA MOTWANE|PHANTOM FILMS PRIVATE LIMITED|U|1|2021-12-21|9772
1925|ANGAILI AKSHARA|Kannada|DIL/1/17/2021-BAN|0 days 01:54:01|Theatrical|Jnanesha M B|K H S FILMS|U|1|2021-12-22|6841
1926|NANNA RAMANNA|Kannada|DIL/2/88/2021-BAN|0 days 01:35:51|Theatrical|Dinesh Hegde|KHUSHI CREATIONS|UA|1|2021-12-22|5751
1927|DANDI|Kannada|DIL/2/89/2021-BAN|0 days 02:08:08|Theatrical|Usharani S C|KALYANI PRODUCTIONS|UA|1|2021-12-22|7688
1928|BISILU KUDURE|Kannada|DIL/2/90/2021-BAN|0 days 01:34:01|Theatrical|Hridaya Shiva|METAPHOR MEDIA HOUSE|UA|1|2021-12-22|5641
1929|RAMAPURA NSS SHIBIRA|Kannada|DIL/1/18/2021-BAN|0 days 01:55:00|Theatrical|Narendra Kumar Hk|PUNYA STUDIOS|U|1|2021-12-22|6900
1930|NAMMA CHILDRENSINDIA.COM|Kannada|DIL/1/19/2021-BAN|0 days 01:57:00|Theatrical|Nanjundegowda N R|ABHIVYAKTHI CHITRA|U|1|2021-12-22|7020
1931|ARJUNA SANYASI|Kannada|DIL/3/32/2021-BAN|0 days 01:54:00|Theatrical|Neelakanteswar P|POLANKI PASSION PICTURES|A|1|2021-12-22|6840
1932|RIDER|Kannada|DIL/2/93/2021-BAN|0 days 02:24:53|Theatrical|Sunil A|M/S SHIVA NANDI ENTERTAINMENTS|UA|1|2021-12-22|8693
1933|PREETHSONA MATHOMME|Kannada|DIL/2/94/2021-BAN|0 days 02:06:42|Theatrical|Muniraju R|RAMSHREE PRODUCTIONS|UA|1|2021-12-23|7602
1934|SWABHIMAANI SWATHI|Kannada|DIL/2/95/2021-BAN|0 days 02:03:42|Theatrical|M S Muthuraj|M.S MUTHURAJ PICTURES|UA|1|2021-12-23|7422
1935|FAMILY DRAMA|Kannada|VIL/2/162/2021-HYD|0 days 02:12:06|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-12-23|7926
1936|ANGAMALY DIARIES|Kannada|VIL/2/210/2021-Che|0 days 02:11:44|Video|Ramakrishna Veerapaneni|MANGO MASS MEDIA PVT. LTD.|UA|1|2021-12-23|7904
1937|LOVE YOU RACHCHU|Kannada|DIL/2/96/2021-BAN|0 days 02:18:43|Theatrical|Gurubheemarao Deshpande|M/S G CINEMAS|UA|1|2021-12-23|8323
1938|COOLIE NO 1|Kannada|VIL/1/103/2021-Che|0 days 02:39:41|Video|Pradeep Bhagchand|M/s Diya Movies|U|1|2021-12-24|9581
1939|GARUDA|Kannada|DIL/2/97/2021-BAN|0 days 02:24:52|Theatrical|Mahesh R|ORANGE PIXELS|UA|1|2021-12-24|8692
1940|YELLOW BOARD|Kannada|DIL/2/98/2021-BAN|0 days 02:26:01|Theatrical|Gowtham D|M/S VINTAGE FILMS|UA|1|2021-12-24|8761
1941|SUMAN|Kannada|DIL/2/99/2021-BAN|0 days 02:16:16|Theatrical|Ravi M Mahadevaiah|M/s M.M.R Movies Creations|UA|1|2021-12-24|8176
1942|HUTTU HABBADA SHUBASHAYAGALU|Kannada|DIL/2/100/2021-BAN|0 days 02:15:26|Theatrical|T R Chandrashekhara|M/S CRYSTAL PAARK CINEMAS|UA|1|2021-12-24|8126
1943|PAATRA|Kannada|DIL/2/101/2021-BAN|0 days 01:38:25|Theatrical|Shiva Kumar K|T R S MOVIE MAKERS|UA|1|2021-12-24|5905
